Anio;Codigo_Biblioteca_REBIUN;Biblioteca;Eje;Nombre_Eje;Apartado;Nombre_Apartado;Codigo_REBIUN;Codigo_Tecnico;Indicador;Valor
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.2;Audiovisuales y material no librario;5.2.3;NMAUDIONOLIBINGRES;Ítems de audiovisuales y material no librario ingresados e informatizados durante el año en curso;33
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.2;Audiovisuales y material no librario;5.2.3.1;NMONAUDIONOLIBCOMPRA;Por compra;7
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.2;Audiovisuales y material no librario;5.2.3.3;NMONAUDIONOLIBDONAT;Por donativo o intercambio;26
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.3;Publicaciones periódicas en papel;5.3.1;NTITPPPAPEL;Títulos de publicaciones periódicas en papel;37733
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.3;Publicaciones periódicas en papel;5.3.2;NTITPPPVIVA;Títulos de publicaciones periódicas en papel en curso de recepción (vivas);5334
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.3;Publicaciones periódicas en papel;5.3.2.1;NTITPPPCOMPRA;Títulos de publicaciones periódicas en papel ingresadas por compra;999
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.3;Publicaciones periódicas en papel;5.3.2.2;NTITPPPDONAT;Títulos de publicaciones periódicas en papel ingresadas por donativo o intercambio;4335
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.3;Publicaciones periódicas en papel;5.3.3;NTITPPPMUERTA;Títulos de publicaciones periódicas en papel muertas;32399
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.1;NMONPAGOLIC;Monografías electrónicas de pago;571550
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.2;NPPPAGOLIC;Publicaciones periódicas electrónicas de pago;16084
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.3;NBBDDPAGOLIC;Bases de datos de pago;24
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.4;NOBDIGREPOSITORIO;Total de objetos digitales en el repositorio institucional en acceso abierto;151686
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.4.1;NODOCINVGREPOSITORIO;Total de documentos de investigación en el repositorio institucional en acceso abierto;110133
2020;20;Consejo Superior de Investigaciones Científicas;5;Colecciones;5.4;Recursos electrónicos;5.4.4.2;NOTESDOCTREPOSITORIO;Total de tesis doctorales en el repositorio institucional en acceso abierto;3024
