Codigo_Tecnico;Codigo_REBIUN_Referencia;Indicador_Referencia;Eje_Referencia;Nombre_Eje_Referencia;Apartado_Referencia;Nombre_Apartado_Referencia;Primer_Anio;Ultimo_Anio;Cambio_Codigo_REBIUN;Cambio_Denominacion;Codigos_REBIUN_Historicos;Denominaciones_Historicas
NBIBPROFESIONALF;2.1.1.1;Personal bibliotecario femenino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.1.1 | 2024:2.1.1.1 | 2025:2.1.1.1;2023:Personal bibliotecario femenino | 2024:Personal bibliotecario femenino | 2025:Personal bibliotecario femenino
NBIBPROFESIONALM;2.1.1.2;Personal bibliotecario masculino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.1.2 | 2024:2.1.1.2 | 2025:2.1.1.2;2023:Personal bibliotecario masculino | 2024:Personal bibliotecario masculino | 2025:Personal bibliotecario masculino
NAUXIBIB;2.1.2;Personal auxiliar de biblioteca;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2020;2025;No;Sí;2020:2.1.2 | 2021:2.1.2 | 2022:2.1.2 | 2023:2.1.2 | 2024:2.1.2 | 2025:2.1.2;2020:Auxiliares de biblioteca | 2021:Auxiliares de biblioteca | 2022:Auxiliares de biblioteca | 2023:Personal auxiliar de biblioteca | 2024:Personal auxiliar de biblioteca | 2025:Personal auxiliar de biblioteca
NAUXBIBF;2.1.2.1;Personal auxiliar de biblioteca femenino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.2.1 | 2024:2.1.2.1 | 2025:2.1.2.1;2023:Personal auxiliar de biblioteca femenino | 2024:Personal auxiliar de biblioteca femenino | 2025:Personal auxiliar de biblioteca femenino
NAUXBIBM;2.1.2.2;Personal auxiliar de biblioteca masculino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.2.2 | 2024:2.1.2.2 | 2025:2.1.2.2;2023:Personal auxiliar de biblioteca masculino | 2024:Personal auxiliar de biblioteca masculino | 2025:Personal auxiliar de biblioteca masculino
NBECAEST;2.1.3;Estudiantado con beca y/o asimilado;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2020;2025;No;Sí;2020:2.1.3 | 2021:2.1.3 | 2022:2.1.3 | 2023:2.1.3 | 2024:2.1.3 | 2025:2.1.3;2020:Estudiantes becarios y asimilados | 2021:Estudiantes becarios y asimilados | 2022:Estudiantes becarios y asimilados | 2023:Estudiantado con beca y/o asimilado | 2024:Estudiantado con beca y/o asimilado | 2025:Estudiantado con beca y/o asimilado
NBECAESTF;2.1.3.1;Estudiantado femenino con beca y/o asimilado;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.3.1 | 2024:2.1.3.1 | 2025:2.1.3.1;2023:Estudiantado femenino con beca y/o asimilado | 2024:Estudiantado femenino con beca y/o asimilado | 2025:Estudiantado femenino con beca y/o asimilado
NBECAESTM;2.1.3.2;Estudiantado masculino con beca y/o asimilado;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.3.2 | 2024:2.1.3.2 | 2025:2.1.3.2;2023:Estudiantado masculino con beca y/o asimilado | 2024:Estudiantado masculino con beca y/o asimilado | 2025:Estudiantado masculino con beca y/o asimilado
NPERSESP;2.1.4;Personal especializado;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2020;2025;No;No;2020:2.1.4 | 2021:2.1.4 | 2022:2.1.4 | 2023:2.1.4 | 2024:2.1.4 | 2025:2.1.4;2020:Personal especializado | 2021:Personal especializado | 2022:Personal especializado | 2023:Personal especializado | 2024:Personal especializado | 2025:Personal especializado
NPERSESPF;2.1.4.1;Personal especializado femenino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.4.1 | 2024:2.1.4.1 | 2025:2.1.4.1;2023:Personal especializado femenino | 2024:Personal especializado femenino | 2025:Personal especializado femenino
NPERSESPM;2.1.4.2;Personal especializado masculino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.4.2 | 2024:2.1.4.2 | 2025:2.1.4.2;2023:Personal especializado masculino | 2024:Personal especializado masculino | 2025:Personal especializado masculino
NPERSADMIN;2.1.5;Personal administrativo;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2020;2025;No;No;2020:2.1.5 | 2021:2.1.5 | 2022:2.1.5 | 2023:2.1.5 | 2024:2.1.5 | 2025:2.1.5;2020:Personal administrativo | 2021:Personal administrativo | 2022:Personal administrativo | 2023:Personal administrativo | 2024:Personal administrativo | 2025:Personal administrativo
NPERSADMINF;2.1.5.1;Personal administrativo femenino;2;Recursos Humanos;2.1;Plantilla total (a jornada completa);2023;2025;No;No;2023:2.1.5.1 | 2024:2.1.5.1 | 2025:2.1.5.1;2023:Personal administrativo femenino | 2024:Personal administrativo femenino | 2025:Personal administrativo femenino
